event,gender,ageGroup,minutes,seconds,decimals
800 MTS FREE,Masculino,70-74,09,36,6
1500 MTS FREE,Masculino,70-74,18,29,7
50 MTS BACK,Masculino,70-74,00,32,42
100 MTS BACK,Masculino,70-74,01,08,5
200 MTS BACK,Masculino,70-74,02,35,0
50 MTS BRST,Masculino,70-74,00,33,54
100 MTS BRST,Masculino,70-74,01,13,0
200 MTS BRST,Masculino,70-74,02,45,6
50  MTS FLY,Masculino,70-74,00,29,52
100 MTS FLY,Masculino,70-74,01,06,5
200 MTS FLY,Masculino,70-74,02,45,3
100 MTS IM,Masculino,70-74,01,07,0
200 MTS IM,Masculino,70-74,02,27,1
400 MTS IM,Masculino,70-74,05,46,5
50 MTS FREE,Masculino,75-79,00,28,7
100 MTS FREE,Masculino,75-79,01,04,8
200 MTS FREE,Masculino,75-79,02,26,9
400 MTS FREE,Masculino,75-79,05,09,9
800 MTS FREE,Masculino,75-79,10,40,8
1500 MTS FREE,Masculino,75-79,20,18,6
50 MTS BACK,Masculino,75-79,00,33,87
100 MTS BACK,Masculino,75-79,01,14,0
200 MTS BACK,Masculino,75-79,02,44,0
50 MTS BRST,Masculino,75-79,00,36,78
100 MTS BRST,Masculino,75-79,01,24,3
200 MTS BRST,Masculino,75-79,03,06,8
50  MTS FLY,Masculino,75-79,00,32,09
100 MTS FLY,Masculino,75-79,01,17,4
200 MTS FLY,Masculino,75-79,03,05,3
100 MTS IM,Masculino,75-79,01,17,5
200 MTS IM,Masculino,75-79,02,50,8
400 MTS IM,Masculino,75-79,06,26,1
