event,gender,ageGroup,minutes,seconds,decimals
50 MTS BACK,Masculino,60-64,00,30,4
100 MTS BACK,Masculino,60-64,01,06,08
200 MTS BACK,Masculino,60-64,02,26,12
50 MTS BRST,Masculino,60-64,00,30,57
100 MTS BRST,Masculino,60-64,01,09,57
200 MTS BRST,Masculino,60-64,02,33,57
50 MTS FLY,Masculino,60-64,00,27,57
100 MTS FLY,Masculino,60-64,01,02,00
200 MTS FLY,Masculino,60-64,02,23,52
200 MTS IM,Masculino,60-64,02,21,99
400 MTS IM,Masculino,60-64,05,08,20
50 MTS FREE,Masculino,65-69,00,26,19
100 MTS FREE,Masculino,65-69,00,59,49
200 MTS FREE,Masculino,65-69,02,09,39
400 MTS FREE,Masculino,65-69,04,37,70
800 MTS FREE,Masculino,65-69,09,48,95
1500 MTS FREE,Masculino,65-69,18,43,50
50 MTS BACK,Masculino,65-69,00,30,95
100 MTS BACK,Masculino,65-69,01,08,15
200 MTS BACK,Masculino,65-69,02,31,62
50 MTS BRST,Masculino,65-69,00,33,3
100 MTS BRST,Masculino,65-69,01,14,77
200 MTS BRST,Masculino,65-69,02,41,54
50 MTS FLY,Masculino,65-69,00,28,26
100 MTS FLY,Masculino,65-69,01,05,82
200 MTS FLY,Masculino,65-69,02,32,00
200 MTS IM,Masculino,65-69,02,25,22
400 MTS IM,Masculino,65-69,05,13,36
50 MTS FREE,Masculino,70-74,00,27,12
100 MTS FREE,Masculino,70-74,01,03,01
200 MTS FREE,Masculino,70-74,02,22,88
400 MTS FREE,Masculino,70-74,04,57,84
800 MTS FREE,Masculino,70-74,10,12,60
1500 MTS FREE,Masculino,70-74,20,26,10
50 MTS BACK,Masculino,70-74,00,32,27
100 MTS BACK,Masculino,70-74,01,10,19
200 MTS BACK,Masculino,70-74,02,36,31
50 MTS BRST,Masculino,70-74,00,34,69
100 MTS BRST,Masculino,70-74,01,17,80
200 MTS BRST,Masculino,70-74,02,48,97
50 MTS FLY,Masculino,70-74,00,29,84
100 MTS FLY,Masculino,70-74,01,07,40
200 MTS FLY,Masculino,70-74,02,47,17
200 MTS IM,Masculino,70-74,02,35,97
400 MTS IM,Masculino,70-74,05,55,97
50 MTS FREE,Masculino,75-79,00,28,49
100 MTS FREE,Masculino,75-79,01,06,40
200 MTS FREE,Masculino,75-79,02,25,66
400 MTS FREE,Masculino,75-79,05,17,77
